"mode","peel","Year","ssb","recruit_male"
"standard",8,2010,166.25316097,1882635.69392716
"standard",8,2011,192.59538578,3169275.63308228
"standard",9,1982,214.47919714,1979591.96410772
"standard",9,1983,227.68594109,1997635.92734284
"standard",9,1984,244.0151517,3416350.34497192
"standard",9,1985,255.84123376,3991788.58645685
"standard",9,1986,280.23371025,165656.32374179
"standard",9,1987,318.45101106,1237596.704669
"standard",9,1988,377.29852202,496732.56522842
"standard",9,1989,438.47501187,679183.15117411
"standard",9,1990,396.41065568,2891079.08664037
"standard",9,1991,362.65383874,4051106.71384889
"standard",9,1992,287.02217447,97767.87733156
"standard",9,1993,260.78195897,88902.71054003
"standard",9,1994,328.63382885,414673.55894263
"standard",9,1995,300.23541899,198334.23551722
"standard",9,1996,311.98619289,301855.61338458
"standard",9,1997,291.52719603,244192.70248553
"standard",9,1998,206.0471061,388003.05147887
"standard",9,1999,171.73817213,313813.1186737
"standard",9,2000,142.3955263,31430.40346384
"standard",9,2001,118.30626918,1269518.03203363
"standard",9,2002,98.21631142,877631.62507644
"standard",9,2003,89.14725546,484285.63156456
"standard",9,2004,81.15395391,1406789.64471623
"standard",9,2005,94.41639798,344426.52508259
"standard",9,2006,117.90377445,471197.79371339
"standard",9,2007,130.08157908,1580781.82040767
"standard",9,2008,138.95958632,2671327.6757503
"standard",9,2009,150.87652943,1385193.04460539
"standard",9,2010,149.49017725,2329113.66175816
"standard",10,1982,211.81268902,1807421.28856109
"standard",10,1983,222.04175562,1837391.35978058
"standard",10,1984,236.34752887,3188342.53303638
"standard",10,1985,247.35472058,3673335.83186399
"standard",10,1986,271.24333458,149747.86995603
"standard",10,1987,308.47601464,1147389.45479764
"standard",10,1988,365.71135081,462600.73304223
"standard",10,1989,426.00850941,608682.24082337
"standard",10,1990,385.1279844,2721664.51824301
"standard",10,1991,352.73497103,3716969.32295065
"standard",10,1992,278.93989857,85090.12737101
"standard",10,1993,253.26832548,83753.83094904
"standard",10,1994,318.82785986,357930.01265027
"standard",10,1995,291.41074324,230475.20773872
"standard",10,1996,303.4482468,233005.64237072
"standard",10,1997,283.85225295,248133.01147084
"standard",10,1998,200.22110241,342707.47122192
"standard",10,1999,166.88300871,294553.05341595
"standard",10,2000,138.46798775,26386.98338122
"standard",10,2001,115.04787091,1173195.30491059
"standard",10,2002,95.23661884,797597.88671563
"standard",10,2003,86.3519619,465097.03311621
"standard",10,2004,78.47710868,1077124.37500379
"standard",10,2005,91.32113609,437748.14965633
"standard",10,2006,113.65761163,360946.38554398
"standard",10,2007,124.58744755,1351379.63497478
"standard",10,2008,131.32932284,2676658.50148487
"standard",10,2009,140.23627174,1925734.73498423
