"mode","peel","Year","recruit_male"
"drop_survey",4,2001,1294236.98140019
"drop_survey",4,2002,801262.85266716
"drop_survey",4,2003,554119.86882985
"drop_survey",4,2004,1736960.32501829
"drop_survey",4,2005,406498.46670691
"drop_survey",4,2006,360520.33559766
"drop_survey",4,2007,849595.36296671
"drop_survey",4,2008,1217334.32740074
"drop_survey",4,2009,109974.60912264
"drop_survey",4,2010,645077.00489008
"drop_survey",4,2011,656552.35151616
"drop_survey",4,2012,749731.2603975
"drop_survey",4,2013,1174419.18582522
"drop_survey",4,2014,3139420.76947916
"drop_survey",4,2015,2048659.45928719
"drop_survey",5,1982,1920897.23954926
"drop_survey",5,1983,1915017.61724032
"drop_survey",5,1984,3337552.77223981
"drop_survey",5,1985,3714054.09007618
"drop_survey",5,1986,150499.60352882
"drop_survey",5,1987,1173330.55790014
"drop_survey",5,1988,476462.99762253
"drop_survey",5,1989,639934.46128857
"drop_survey",5,1990,2889488.44581099
"drop_survey",5,1991,3747872.8751827
"drop_survey",5,1992,91792.99517588
"drop_survey",5,1993,95005.22050706
"drop_survey",5,1994,381734.58207071
"drop_survey",5,1995,212887.53750304
"drop_survey",5,1996,265522.18550711
"drop_survey",5,1997,240839.62190676
"drop_survey",5,1998,399986.37176588
"drop_survey",5,1999,280653.67997137
"drop_survey",5,2000,30557.50946716
"drop_survey",5,2001,1252785.2947999
"drop_survey",5,2002,812139.49221741
"drop_survey",5,2003,499923.65168407
"drop_survey",5,2004,1607891.63400982
"drop_survey",5,2005,470408.14842787
"drop_survey",5,2006,369192.19955763
"drop_survey",5,2007,755588.92521296
"drop_survey",5,2008,1422748.17026439
"drop_survey",5,2009,701043.10596964
"drop_survey",5,2010,902569.74605648
"drop_survey",5,2011,1280758.0435415
"drop_survey",5,2012,1096636.27000979
"drop_survey",5,2013,1409889.1257315
"drop_survey",5,2014,1748835.65371084
"drop_survey",6,1982,1784086.87934247
"drop_survey",6,1983,1779647.90401408
"drop_survey",6,1984,3134075.17006399
"drop_survey",6,1985,3432812.32890478
"drop_survey",6,1986,147613.94277694
"drop_survey",6,1987,1089403.05659622
"drop_survey",6,1988,445616.64430384
"drop_survey",6,1989,589709.12676847
"drop_survey",6,1990,2721958.09366116
"drop_survey",6,1991,3456718.0352321
"drop_survey",6,1992,84487.56421565
"drop_survey",6,1993,86414.02764546
"drop_survey",6,1994,350514.21443009
"drop_survey",6,1995,200811.88215951
"drop_survey",6,1996,261866.47955057
"drop_survey",6,1997,200473.93421183
"drop_survey",6,1998,382466.50433944
"drop_survey",6,1999,253817.46827427
"drop_survey",6,2000,30025.94239652
"drop_survey",6,2001,1169622.33525647
"drop_survey",6,2002,749752.33979987
"drop_survey",6,2003,438738.06216097
"drop_survey",6,2004,1540080.43048356
"drop_survey",6,2005,402114.93397173
"drop_survey",6,2006,393626.25591912
"drop_survey",6,2007,686552.62415223
"drop_survey",6,2008,1929784.21890048
"drop_survey",6,2009,595394.46889683
"drop_survey",6,2010,959383.23466979
"drop_survey",6,2011,1405655.83987617
"drop_survey",6,2012,1643899.36390149
"drop_survey",6,2013,1892188.93317546
"drop_survey",7,1982,1825256.61362652
"drop_survey",7,1983,1808057.10057423
"drop_survey",7,1984,3166581.11387734
"drop_survey",7,1985,3517998.71734714
"drop_survey",7,1986,153660.5276888
"drop_survey",7,1987,1112620.53698984
"drop_survey",7,1988,445346.10905229
"drop_survey",7,1989,606441.00856385
"drop_survey",7,1990,2725052.49330334
"drop_survey",7,1991,3569321.23139353
"drop_survey",7,1992,82647.8863936
"drop_survey",7,1993,79900.75356414
"drop_survey",7,1994,360245.97378742
"drop_survey",7,1995,215065.26889586
"drop_survey",7,1996,234830.10944093
"drop_survey",7,1997,238790.46035656
"drop_survey",7,1998,350160.28696516
"drop_survey",7,1999,276903.14563122
"drop_survey",7,2000,28777.89807672
"drop_survey",7,2001,1169099.72256513
"drop_survey",7,2002,791829.35186167
"drop_survey",7,2003,401632.77034836
"drop_survey",7,2004,1529712.12086882
"drop_survey",7,2005,523430.24220657
"drop_survey",7,2006,457774.06219213
"drop_survey",7,2007,1556875.45055808
"drop_survey",7,2008,2688513.02327062
"drop_survey",7,2009,1149258.32513712
"drop_survey",7,2010,1842372.98175758
"drop_survey",7,2011,2857000.66501598
