#========================================================================================================																													
#	Gmacs	Main	Data	File	Version	1.1:	BBRKC	Example																					
#	GEAR_INDEX	DESCRIPTION																											
#	1	:	Pot	fishery	retained	catch.																							
#	1	:	Pot	fishery	with	discarded	catch.																						
#	2	:	Trawl	bycatch																									
#	3	:	Trawl	survey																									
#	Fisheries:	1	Pot	"Fishery,"	2	Pot	"Discard,"	3	Trawl	"by-catch,"	4	Tanner bycatch 5 fixed gear																	
#	Surveys:	6	NMFS	Trawl	"Survey,"	7	BSFRF	Survey																					
#========================================================================================================																													
1982	# Start	year																											
2019	# End	year																											
3	# Number of seasons																												
4	# Number of fleets (fishing fleets and surveys)																												
2	# Number of sexes																												
1	# Number of shell condition types																												
2	# Number of maturity types																												
22	# Number of size-classes in the	model																											
3	# Season recruitment occurs																												
3	# Season molting and growth occurs																												
3	# Season to calculate SSB																												
1	# Season for N output																												
# maximum size-class (males then females)																													
22 22																													
#	size_breaks (a	vector	giving	the	break	points	between	size	"intervals,"	dim=nclass+1)																			
25	30	35	40	45	50	55	60	65	70	75	80	85	90	95	100	105	110	115	120	125	130	135							
#	Natural	mortality	per	season	input	type	(1	=	vector	by	"season,"	2	=	matrix	by	season/year)													
1																													
#	Proportion of the total	natural	mortality to be	applied	each	season																							
#0.625 0.00 0.375																													
0.62 0.01 0.37																													
# Fishing fleet	names (delimited with spaces; no spaces in names)																												
Pot_Fishery Trawl_Bycatch																													
# Survey names (delimited with spaces; no spaces in names)																													
NMFS_Trawl_1982 NMFS_Trawl_1989																													
# Are the seasons instantaneous (0) or continuous (1)																													
1 1 1																													
# Input catch data format (0: old; 1:new)																													
0																													
# Number of catch data frames																													
4																													
# Number of rows in each data frame																													
38	38	38	38
##		##																											
##	CATCH	DATA																											
##	Type of	"catch: 1 = retained, 2"	"= discard, 0 ="	total																									
##	Units of catch:	"1 = biomass, 2 = numbers"																											
##	for snow Units	are in 1000 mt	for landed & discards.																										
##		##																											
##	Male	retained	pot	fishery	(tonnes)																								
#year	seas	fleet	sex	obs	cv	type	units	mult	effort	discard_mortality																			
2002	2	2	0	0.104225114460185	0.1	2	1	1	0	1
2003	2	2	0	0.136253673900845	0.1	2	1	1	0	1
2004	2	2	0	0.179524033724942	0.1	2	1	1	0	1
2005	2	2	0	0.188688114493371	0.1	2	1	1	0	1
2006	2	2	0	0.363270650926848	0.1	2	1	1	0	1
2007	2	2	0	0.305645583671174	0.1	2	1	1	0	1
2008	2	2	0	0.188951942584393	0.1	2	1	1	0	1
2009	2	2	0	0.388750104617836	0.1	2	1	1	0	1
2010	2	2	0	0.138054690547551	0.1	2	1	1	0	1
2011	2	2	0	0.139623974566371	0.1	2	1	1	0	1
2012	2	2	0	0.1504211639946	0.1	2	1	1	0	1
2013	2	2	0	0.162109446502765	0.1	2	1	1	0	1
2014	2	2	0	0.617396969214794	0.1	2	1	1	0	1
2015	2	2	0	1.58187850918595	0.1	2	1	1	0	1
2016	2	2	0	0.0350713236311788	0.1	2	1	1	0	1
2017	2	2	0	0.101232616275947	0.1	2	1	1	0	1
2018	2	2	0	0.401392627269252	0.1	2	1	1	0	1
2019	2	2	0	0.210518829064968	0.1	2	1	1	0	1
##	RELATIVE	ABUNDANCE	DATA																										
# Input abundance data format (0: old; 1:new)																													
0																													
##	Number	of	relative	abundance	indicies																								
4																													
# Index Type  (1=Selecivity; 2=retention)																													
1 1 1 1																													
##	Number	of	rows of index data																										
76
##	Survey	data																											
##  Mature: 1=mature; 2=immature; 0=combined																													
##  Index: indicates if a different q is estimated for the survey																													
##	Units:	of	Abundance:	1	=	"biomass,"	2	=	numbers		(Units for snow crab are in 1000 mt.)																		
#Index Year	Season	Fleet	Sex Mature	Obs		CV		Units	Timing	RAI																			
1	1982	1	3	2	1	141.492000713347	0.158453362565569	1	0	1
1	1983	1	3	2	1	82.1821314580155	0.202513111697348	1	0	1
1	1984	1	3	2	1	39.3686378866757	0.199801561612919	1	0	1
1	1985	1	3	2	1	5.88913821299534	0.215444708660892	1	0	1
1	1986	1	3	2	1	15.1739557834732	0.208775452376609	1	0	1
1	1987	1	3	2	1	119.55120143744	0.188936091535149	1	0	1
1	1988	1	3	2	1	165.618574549038	0.176562445268525	1	0	1
2	1989	1	4	2	1	256.727533751669	0.324162566521812	1	0	2
2	1990	1	4	2	1	174.94184588605	0.210417837422485	1	0	2
2	1991	1	4	2	1	199.019575176495	0.242710432754576	1	0	2
2	1992	1	4	2	1	123.479179063344	0.201645069978923	1	0	2
2	1993	1	4	2	1	127.080564677938	0.166262690396058	1	0	2
2	1994	1	4	2	1	122.60395733716	0.140025005609801	1	0	2
2	1995	1	4	2	1	164.958521831314	0.13621072499988	1	0	2
2	1996	1	4	2	1	104.429105530683	0.151494117623505	1	0	2
2	1997	1	4	2	1	101.393429032752	0.196958975127053	1	0	2
2	1998	1	4	2	1	70.1826636932359	0.280132609932778	1	0	2
2	1999	1	4	2	1	29.8489754608652	0.238358392756879	1	0	2
2	2000	1	4	2	1	93.8820933853643	0.53867228576359	1	0	2
2	2001	1	4	2	1	74.8401024931202	0.296941732061633	1	0	2
2	2002	1	4	2	1	29.5080611942114	0.318966757796024	1	0	2
2	2003	1	4	2	1	38.7614576956064	0.406033028958188	1	0	2
2	2004	1	4	2	1	47.7426489181972	0.27950071347701	1	0	2
2	2005	1	4	2	1	62.6031340770991	0.223264714859875	1	0	2
2	2006	1	4	2	1	50.5924362889234	0.203562564017867	1	0	2
2	2007	1	4	2	1	54.4486054497502	0.323707006159477	1	0	2
2	2008	1	4	2	1	49.3519599571903	0.235248512949306	1	0	2
2	2009	1	4	2	1	50.0017450615409	0.230841877449593	1	0	2
2	2010	1	4	2	1	94.9560696728096	0.183636174287044	1	0	2
2	2011	1	4	2	1	169.117354666679	0.192171127585698	1	0	2
2	2012	1	4	2	1	143.252851035284	0.234781550538836	1	0	2
2	2013	1	4	2	1	125.67181083375	0.206738316138733	1	0	2
2	2014	1	4	2	1	111.361857527118	0.213974576243242	1	0	2
2	2015	1	4	2	1	81.6277699926336	0.18286333982271	1	0	2
2	2016	1	4	2	1	53.1241818969891	0.206034736023932	1	0	2
2	2017	1	4	2	1	105.882964864136	0.219326395874879	1	0	2
2	2018	1	4	2	1	165.448352278054	0.199848997750133	1	0	2
2	2019	1	4	2	1	109.225882772988	0.196982285117444	1	0	2
3	1982	1	3	1	1	172.376311803425	0.137672590482913	1	0	3
3	1983	1	3	1	1	147.607936493576	0.125745079654206	1	0	3
3	1984	1	3	1	1	166.493879740492	0.11809394959155	1	0	3
3	1985	1	3	1	1	70.0197244287684	0.106383722063543	1	0	3
3	1986	1	3	1	1	85.7842993971314	0.111755621865519	1	0	3
3	1987	1	3	1	1	185.380551113439	0.106531785007417	1	0	3
3	1988	1	3	1	1	251.021878502988	0.149473540241556	1	0	3
4	1989	1	4	1	1	272.611276958136	0.107479841133939	1	0	4
4	1990	1	4	1	1	370.6030414688	0.138804919072894	1	0	4
4	1991	1	4	1	1	396.951658362058	0.146783824609653	1	0	4
4	1992	1	4	1	1	223.189316773193	0.0935105478661627	1	0	4
4	1993	1	4	1	1	215.021963686823	0.105030158261864	1	0	4
4	1994	1	4	1	1	140.674169453409	0.0836820542485329	1	0	4
4	1995	1	4	1	1	205.735323808817	0.127413857407473	1	0	4
4	1996	1	4	1	1	270.82202336726	0.124971945552857	1	0	4
4	1997	1	4	1	1	281.367098492756	0.0949941902815062	1	0	4
4	1998	1	4	1	1	199.470389094276	0.0896271298462897	1	0	4
4	1999	1	4	1	1	90.5773544747643	0.0896501231364168	1	0	4
4	2000	1	4	1	1	88.2639296137244	0.136138643626889	1	0	4
4	2001	1	4	1	1	117.136114969842	0.116307987897813	1	0	4
4	2002	1	4	1	1	84.3372586243607	0.226758298481348	1	0	4
4	2003	1	4	1	1	61.2435197385217	0.118666633242819	1	0	4
4	2004	1	4	1	1	71.7701246941394	0.137811185143317	1	0	4
4	2005	1	4	1	1	125.122913280965	0.112658847783127	1	0	4
4	2006	1	4	1	1	138.687884724827	0.260356089768817	1	0	4
4	2007	1	4	1	1	148.912252443534	0.14742330595097	1	0	4
4	2008	1	4	1	1	126.24989092834	0.101776163036285	1	0	4
4	2009	1	4	1	1	133.420112805404	0.128305998570058	1	0	4
4	2010	1	4	1	1	157.481190762131	0.121562793976423	1	0	4
4	2011	1	4	1	1	167.681161504047	0.114164472193153	1	0	4
4	2012	1	4	1	1	124.009627747215	0.118587539658112	1	0	4
4	2013	1	4	1	1	93.1168035943211	0.11812299701488	1	0	4
4	2014	1	4	1	1	164.041221542642	0.163949853665845	1	0	4
4	2015	1	4	1	1	76.9622777584471	0.117512078798174	1	0	4
4	2016	1	4	1	1	62.8200164647323	0.107936516495982	1	0	4
4	2017	1	4	1	1	82.8410457921809	0.130962611119783	1	0	4
4	2018	1	4	1	1	232.99410370336	0.170348243614935	1	0	4
4	2019	1	4	1	1	202.888150748876	0.171822356978459	1	0	4
999 #chk      <-NEW as of version 2.20.29												
# Input abundance data format (0: old; 1:new)							#																						
0																													
## Number of length frequency matrices	 																												
13																													
## Number of rows in each matrix																													
38	30	30	29	29	7	31	7	31	7	31	7	31
##	Number	of	bins	in	each	matrix	(columns	of	size	data)																			
22	22	22	22	22	22	22	22	22	22	22	22	22																	
##	SIZE COMPOSITION DATA FOR ALL FLEETS																												
##	SIZE	COMP	LEGEND																										
##	Sex: 1	"= male,"	"2 = female, 0"	#NAME?																									
##	Type of	composition: 1	"= retained, 2 ="	"discard, 0 = total composition"																									
##	Maturity	state:	1	=	"mature,"	2	=	"immature,"	0	=	both	states	combined																
##	Shell	condition:	1	=	new	"shell,"	2	=	old	"shell,"	0	=	both	shell	types	combined													
##		##																											
#Retained	males																												
#Year	Season	Fleet	Sex	Type	Shell	Maturity	Nsamp	27.5	32.5	37.5	42.5	47.5	52.5	57.5	62.5	67.5	72.5	77.5	82.5	87.5	92.5	97.5	102.5	107.5	112.5	117.5	122.5	127.5	132.5																					
1982	2	1	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0.000194628	0.000389257	0.000973141	0.003697937	0.01985206	0.1329311	0.3435186	0.2763725	0.1405216	0.05663681	0.01848965	0.004865703	0.001557026
1983	2	1	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0	0.000238284	0.00039714	0.00127085	0.00833996	0.0518665	0.1884829	0.2749805	0.2584595	0.1475775	0.05409058	0.01199365	0.002303416
