crab_year,fishery,size,shell,total,target_stock
1995,QO96,83,new,144,BSSC
1995,QO96,83,old,14,BSSC
1995,QO96,84,new,190,BSSC
1995,QO96,84,old,7,BSSC
1995,QO96,85,new,263,BSSC
1995,QO96,85,old,15,BSSC
1995,QO96,86,new,268,BSSC
1995,QO96,86,old,20,BSSC
1995,QO96,87,new,310,BSSC
1995,QO96,87,old,31,BSSC
1995,QO96,88,new,358,BSSC
1995,QO96,88,old,38,BSSC
1995,QO96,89,new,367,BSSC
1995,QO96,89,old,59,BSSC
1995,QO96,90,new,482,BSSC
1995,QO96,90,old,50,BSSC
1995,QO96,91,new,509,BSSC
1995,QO96,91,old,91,BSSC
1995,QO96,92,new,703,BSSC
1995,QO96,92,old,96,BSSC
1995,QO96,93,new,818,BSSC
1995,QO96,93,old,146,BSSC
1995,QO96,94,new,1025,BSSC
1995,QO96,94,old,148,BSSC
1995,QO96,95,new,1302,BSSC
1995,QO96,95,old,232,BSSC
1995,QO96,96,new,1426,BSSC
1995,QO96,96,old,266,BSSC
1995,QO96,97,new,1838,BSSC
1995,QO96,97,old,380,BSSC
1995,QO96,98,new,2004,BSSC
1995,QO96,98,old,420,BSSC
1995,QO96,99,new,2058,BSSC
1995,QO96,99,old,436,BSSC
1995,QO96,100,new,2670,BSSC
1995,QO96,100,old,609,BSSC
1995,QO96,101,new,2408,BSSC
1995,QO96,101,old,708,BSSC
1995,QO96,102,new,3016,BSSC
1995,QO96,102,old,797,BSSC
1995,QO96,103,new,3352,BSSC
1995,QO96,103,old,923,BSSC
1995,QO96,104,new,3331,BSSC
1995,QO96,104,old,1058,BSSC
1995,QO96,105,new,3185,BSSC
1995,QO96,105,old,1090,BSSC
1995,QO96,106,new,2934,BSSC
1995,QO96,106,old,1029,BSSC
