crab_year,fishery,sex,total_catch_n,total_catch_wt,retained_n,retained_wt,discard_n,discard_wt,discard_mortality_n,discard_mortality_wt,total_mortality_n,total_mortality_wt,target_stock
2008,QT08,1,17231.79220779221,9.58589397433103,0,0,17231.79220779221,9.58589397433103,5169.537662337662,2.8757681922993092,5169.537662337662,2.8757681922993092,WBT
2008,QT08,2,0,0,0,0,0,0,0,0,0,0,WBT
2008,TR08,1,14175.633261105091,7.459491417312189,0,0,14175.633261105091,7.459491417312189,4252.6899783315275,2.2378474251936566,4252.6899783315275,2.2378474251936566,BBRKC
2008,TR08,2,151.61105092091006,0.04620836277377638,0,0,151.61105092091006,0.04620836277377638,45.48331527627302,0.013862508832132914,45.48331527627302,0.013862508832132914,BBRKC
2008,TT08,1,42733.339373970346,21.153649889665203,0,0,42733.339373970346,21.153649889665203,12820.001812191103,6.346094966899561,12820.001812191103,6.346094966899561,EBT
2008,TT08,2,0,0,0,0,0,0,0,0,0,0,EBT
2009,QB10,1,0,0,0,0,0,0,0,0,0,0,PIGKC
2009,QB10,2,0,0,0,0,0,0,0,0,0,0,PIGKC
2009,QO09,1,46676606.02312842,26063.528272657422,35289022,21778.806657688,11387584.02312842,4284.721614969421,3416275.206938526,1285.4164844908264,38705297.20693853,23064.223142178827,BSSC
2009,QO09,2,107627.56908094948,12.41238203814763,0,0,107627.56908094948,12.41238203814763,32288.270724284845,3.7237146114442887,32288.270724284845,3.7237146114442887,BSSC
2009,QP09,1,15904.75,5.5886901577345,0,0,15904.75,5.5886901577345,4771.425,1.6766070473203498,4771.425,1.6766070473203498,SMBKC_PIBKC
2009,QP09,2,1494.1153846153848,0.11409510160719347,0,0,1494.1153846153848,0.11409510160719347,448.23461538461544,0.034228530482158036,448.23461538461544,0.034228530482158036,SMBKC_PIBKC
2009,TR09,1,20509.935530780418,11.258804826060056,0,0,20509.935530780418,11.258804826060056,6152.980659234126,3.3776414478180166,6152.980659234126,3.3776414478180166,BBRKC
2009,TR09,2,0,0,0,0,0,0,0,0,0,0,BBRKC
2009,TT09,1,7234.774011299434,3.718133742326152,0,0,7234.774011299434,3.718133742326152,2170.43220338983,1.1154401226978456,2170.43220338983,1.1154401226978456,EBT
2009,TT09,2,0,0,0,0,0,0,0,0,0,0,EBT
2010,QB10,1,561.8461538461538,0.37070904089441864,0,0,561.8461538461538,0.37070904089441864,168.55384615384614,0.11121271226832559,168.55384615384614,0.11121271226832559,PIGKC
2010,QB10,2,0,0,0,0,0,0,0,0,0,0,PIGKC
2010,QB11,1,0,0,0,0,0,0,0,0,0,0,PIGKC
2010,QB11,2,0,0,0,0,0,0,0,0,0,0,PIGKC
2010,QO10,1,46976392.58664175,29087.114897289903,37758496,24613.3534144,9217896.586641751,4473.761482889902,2765368.9759925255,1342.1284448669705,40523864.97599252,25955.481859266973,BSSC
2010,QO10,2,98571.23680523121,10.049640461493688,0,0,98571.23680523121,10.049640461493688,29571.37104156936,3.0148921384481064,29571.37104156936,3.0148921384481064,BSSC
2010,QP10,1,15431.843607778237,6.0283589308225105,0,0,15431.843607778237,6.0283589308225105,4629.553082333471,1.8085076792467532,4629.553082333471,1.8085076792467532,SMBKC_PIBKC
2010,QP10,2,1299.1402565163426,0.07976492829021109,0,0,1299.1402565163426,0.07976492829021109,389.74207695490276,0.023929478487063328,389.74207695490276,0.023929478487063328,SMBKC_PIBKC
2010,TR10,1,8496.557671957671,4.660167186785915,0,0,8496.557671957671,4.660167186785915,2548.9673015873013,1.3980501560357745,2548.9673015873013,1.3980501560357745,BBRKC
2010,TR10,2,0,0,0,0,0,0,0,0,0,0,BBRKC
2011,QB12,1,0,0,0,0,0,0,0,0,0,0,PIGKC
2011,QB12,2,0,0,0,0,0,0,0,0,0,0,PIGKC
2011,QO11,1,71810430.38764548,44018.09983555299,60555105,40292.873101984,11255325.387645483,3725.2267335689903,3376597.616293645,1117.568020070697,63931702.61629365,41410.4411220547,BSSC
2011,QO11,2,2610449.284691137,190.93600043184617,0,0,2610449.284691137,190.93600043184617,783134.785407341,57.280800129553846,783134.785407341,57.280800129553846,BSSC
2011,QP11,1,38594.5757665972,16.892710999873294,0,0,38594.5757665972,16.892710999873294,11578.372729979159,5.067813299961988,11578.372729979159,5.067813299961988,SMBKC_PIBKC
2011,QP11,2,1488.8544209586187,0.09417705050399562,0,0,1488.8544209586187,0.09417705050399562,446.6563262875856,0.028253115151198684,446.6563262875856,0.028253115151198684,SMBKC_PIBKC
2011,TR11,1,6126.492086330935,3.8796042213643895,0,0,6126.492086330935,3.8796042213643895,1837.9476258992806,1.1638812664093168,1837.9476258992806,1.1638812664093168,BBRKC
2011,TR11,2,0,0,0,0,0,0,0,0,0,0,BBRKC
2012,QB13,1,0,0,0,0,0,0,0,0,0,0,PIGKC
2012,QB13,2,0,0,0,0,0,0,0,0,0,0,PIGKC
2012,QO12,1,64446055.82713044,35581.090160614876,47455883,30052.523864576,16990172.827130437,5528.566296038876,5097051.8481391305,1658.5698888116628,52552934.84813913,31711.093753387664,BSSC
2012,QO12,2,475739.4344347826,57.13780518790336,0,0,475739.4344347826,57.13780518790336,142721.83033043478,17.141341556371007,142721.83033043478,17.141341556371007,BSSC
2012,QP12,1,23283.08450704225,5.95723957174439,0,0,23283.08450704225,5.95723957174439,6984.925352112675,1.787171871523317,6984.925352112675,1.787171871523317,SMBKC_PIBKC
2012,QP12,2,2623.262323943662,0.1652137627924663,0,0,2623.262323943662,0.1652137627924663,786.9786971830986,0.04956412883773989,786.9786971830986,0.04956412883773989,SMBKC_PIBKC
2012,TR12,1,12204.940366972478,8.112240410256819,0,0,12204.940366972478,8.112240410256819,3661.4821100917434,2.4336721230770455,3661.4821100917434,2.4336721230770455,BBRKC
2012,TR12,2,0,0,0,0,0,0,0,0,0,0,BBRKC
2013,QB14,1,0,0,0,0,0,0,0,0,0,0,PIGKC
2013,QB14,2,0,0,0,0,0,0,0,0,0,0,PIGKC
2013,QO13,1,73711574.38181135,35100.793890371075,41923152,24484.022541808,31788422.38181135,10616.771348563074,9536526.714543404,3185.031404568922,51459678.7145434,27669.053946376924,BSSC
2013,QO13,2,964041.8282600526,115.65382091319852,0,0,964041.8282600526,115.65382091319852,289212.54847801576,34.696146273959556,289212.54847801576,34.696146273959556,BSSC
