"mode","peel","Year","ssb","recruit_male"
"standard",10,1986,258.83778216,293396.9296668
"standard",10,1987,289.8293282,619127.51584574
"standard",10,1988,338.36925872,340465.53019462
"standard",10,1989,392.03772863,354289.59724343
"standard",10,1990,350.79587234,2115580.98391835
"standard",10,1991,322.05118458,1881116.2867327
"standard",10,1992,253.55184186,132861.36186257
"standard",10,1993,227.29763632,101274.41723473
"standard",10,1994,281.87100434,168796.14674927
"standard",10,1995,255.99069422,195190.17619778
"standard",10,1996,265.25673782,142004.92425415
"standard",10,1997,249.20726957,142863.30678085
"standard",10,1998,174.79370087,254347.0069569
"standard",10,1999,147.41914666,144233.47246992
"standard",10,2000,122.74839115,73461.64466715
"standard",10,2001,102.34197688,752163.96753513
"standard",10,2002,84.53881118,460256.47939831
"standard",10,2003,77.01496406,331418.3905231
"standard",10,2004,70.44804382,980906.46239074
"standard",10,2005,82.31204345,299144.05040153
"standard",10,2006,101.50146796,179535.45119672
"standard",10,2007,112.19149736,612718.04827321
"standard",10,2008,123.10590208,604795.16368087
"standard",10,2009,139.78130442,156919.32294286
"standard",10,2010,138.86443019,292827.59899384
"standard",10,2011,140.02845425,330082.57990535
"standard",10,2012,129.50131009,278995.420992
"standard",10,2013,122.52340348,480116.54225593
"standard",10,2014,105.53532736,1875142.19736752
"standard",10,2015,98.69211009,1036970.02070549
