"mode","peel","Year","recruit_male"
"drop_survey",8,2003,323772.20413022
"drop_survey",8,2004,991058.66685588
"drop_survey",8,2005,303648.06923333
"drop_survey",8,2006,181734.77035463
"drop_survey",8,2007,601908.75998839
"drop_survey",8,2008,615026.58167565
"drop_survey",8,2009,149962.93822935
"drop_survey",8,2010,153668.66582021
"drop_survey",8,2011,137934.53762872
"drop_survey",8,2012,247013.89786194
"drop_survey",8,2013,419060.4153413
"drop_survey",8,2014,1446147.38142442
"drop_survey",8,2015,1388707.53010399
"drop_survey",8,2016,563563.49972541
"drop_survey",8,2017,416541.84933936
"drop_survey",9,1982,774658.66456615
"drop_survey",9,1983,1196278.05434731
"drop_survey",9,1984,2409118.67295357
