"model","parameter","class","n_optima","min","max","range","share_pct"
"26_gmacs_male_only_eqmdevs","Init_logdev_for_sex_male_mature_immature_newshell_class_12","male",62,0.03866406,0.05090041,0.01223635,0.328477110684587
"26_gmacs_male_only_eqmdevs","Log_fdev_Trawl_Bycatch_year_1982_season_2","shared (fishing mortality)",62,-0.26929678,-0.25707715,0.01221963,0.328028272812948
"26_gmacs_male_only_eqmdevs","Rec_dev_est_1995","shared (recruitment devs)",62,-1.19956885,-1.1873705,0.0121983499999998,0.327457024612672
"26_gmacs_male_only_eqmdevs","Init_logdev_for_sex_male_mature_mature_newshell_class_21","male",62,-1.70043893,-1.68837846,0.01206047,0.323755722833863
"26_gmacs_male_only_eqmdevs","Rec_dev_est_2011","shared (recruitment devs)",62,-1.00799886,-0.99603664,0.01196222,0.32111826345057
"26_gmacs_male_only_eqmdevs","Init_logdev_for_sex_male_mature_mature_newshell_class_11","male",62,0.15414491,0.16569862,0.01155371,0.310152069733836
"26_gmacs_male_only_eqmdevs","Init_logdev_for_sex_male_mature_mature_newshell_class_3","male",62,-0.12980042,-0.11838991,0.01141051,0.306307955904954
"26_gmacs_male_only_eqmdevs","Init_logdev_for_sex_male_mature_mature_newshell_class_20","male",62,-1.40426243,-1.39289571,0.0113667200000001,0.305132440928931
"26_gmacs_male_only_eqmdevs","Log_fdev_Trawl_Bycatch_year_2018_season_2","shared (fishing mortality)",62,1.69223889,1.70347942,0.01124053,0.30174494983908
"26_gmacs_male_only_eqmdevs","Init_logdev_for_sex_male_mature_mature_newshell_class_18","male",62,-0.44508167,-0.43394925,0.01113242,0.298842804964495
"26_gmacs_male_only_eqmdevs","Init_logdev_for_sex_male_mature_immature_newshell_class_5","male",62,-0.06071074,-0.04967205,0.01103869,0.296326682135019
"26_gmacs_male_only_eqmdevs","Rec_dev_est_2009","shared (recruitment devs)",62,-1.07846936,-1.0675401,0.0109292599999999,0.29338910269162
"26_gmacs_male_only_eqmdevs","Init_logdev_for_sex_male_mature_mature_newshell_class_19","male",62,-1.02384945,-1.01293495,0.0109144999999999,0.292992879785794
"26_gmacs_male_only_eqmdevs","Log_fdev_Trawl_Bycatch_year_2007_season_2","shared (fishing mortality)",62,0.44586917,0.45659586,0.01072669,0.287951238597234
"26_gmacs_male_only_eqmdevs","Init_logdev_for_sex_male_mature_immature_newshell_class_14","male",62,0.02676089,0.03746355,0.01070266,0.287306168378602
"26_gmacs_male_only_eqmdevs","Init_logdev_for_sex_male_mature_mature_newshell_class_8","male",62,-0.05640201,-0.04583309,0.01056892,0.283716002292885
"26_gmacs_male_only_eqmdevs","Init_logdev_for_sex_male_mature_immature_newshell_class_15","male",62,-0.45767209,-0.44712486,0.01054723,0.283133747900786
"26_gmacs_male_only_eqmdevs","Log_fdev_Pot_Fishery_year_2007_season_2","shared (fishing mortality)",62,0.15723334,0.1677087,0.01047536,0.281204443006361
"26_gmacs_male_only_eqmdevs","Init_logdev_for_sex_male_mature_mature_newshell_class_12","male",62,0.056396,0.06657166,0.01017566,0.273159185223431
"26_gmacs_male_only_eqmdevs","Rec_dev_est_2012","shared (recruitment devs)",62,-0.3334634,-0.32342496,0.01003844,0.269475600729024
"26_gmacs_male_only_eqmdevs","Log_fdev_Pot_Fishery_year_2018_season_2","shared (fishing mortality)",62,1.08939519,1.09919871,0.00980351999999995,0.263169321254994
"26_gmacs_male_only_eqmdevs","Log_fdev_Trawl_Bycatch_year_2020_season_2","shared (fishing mortality)",62,1.24620807,1.25595344,0.00974537000000009,0.261608321121272
"26_gmacs_male_only_eqmdevs","Rec_dev_est_1996","shared (recruitment devs)",62,-0.77502563,-0.76546049,0.00956513999999997,0.256770160259682
"26_gmacs_male_only_eqmdevs","Init_logdev_for_sex_male_mature_mature_newshell_class_10","male",62,0.05001618,0.0594911,0.00947492,0.254348261170006
"26_gmacs_male_only_eqmdevs","Rec_dev_est_1984","shared (recruitment devs)",62,1.75892848,1.76813364,0.00920516000000005,0.24710672383426
"26_gmacs_male_only_eqmdevs","Init_logdev_for_sex_male_mature_immature_newshell_class_11","male",62,-0.13234879,-0.1231771,0.00917169,0.246208242759869
"26_gmacs_male_only_eqmdevs","Init_logdev_for_sex_male_mature_mature_newshell_class_6","male",62,-0.20094555,-0.19189147,0.00905407999999999,0.243051076367307
"26_gmacs_male_only_eqmdevs","Rec_dev_est_1994","shared (recruitment devs)",62,-1.17973959,-1.17071563,0.00902396000000016,0.242242523933472
"26_gmacs_male_only_eqmdevs","Log_fdev_Trawl_Bycatch_year_2023_season_2","shared (fishing mortality)",62,0.60751185,0.61631442,0.00880257000000007,0.236299448789782
"26_gmacs_male_only_eqmdevs","Log_fdev_Trawl_Bycatch_year_1983_season_2","shared (fishing mortality)",62,-0.14861928,-0.13984492,0.00877435999999998,0.235542169103238
"26_gmacs_male_only_eqmdevs","Init_logdev_for_sex_male_mature_mature_newshell_class_9","male",62,0.00610151,0.01482091,0.0087194,0.234066802510813
"26_gmacs_male_only_eqmdevs","Log_fdev_Pot_Fishery_year_1983_season_2","shared (fishing mortality)",62,-1.9445014,-1.93582023,0.00868117000000002,0.233040542233732
"26_gmacs_male_only_eqmdevs","Rec_dev_est_1992","shared (recruitment devs)",62,-0.74552788,-0.73694999,0.00857788999999998,0.230268055667761
"26_gmacs_male_only_eqmdevs","Init_logdev_for_sex_male_mature_mature_newshell_class_14","male",62,-0.18561996,-0.17704644,0.00857352,0.230150745769492
"26_gmacs_male_only_eqmdevs","Init_logdev_for_sex_male_mature_immature_newshell_class_16","male",62,-0.41389684,-0.40548431,0.00841252999999997,0.225829070592734
"26_gmacs_male_only_eqmdevs","Log_fdev_Pot_Fishery_year_2020_season_2","shared (fishing mortality)",62,1.27031746,1.27852718,0.00820971999999998,0.22038476384947
"26_gmacs_male_only_eqmdevs","Rec_dev_est_1991","shared (recruitment devs)",62,1.26574137,1.27393537,0.00819400000000003,0.219962770348144
"26_gmacs_male_only_eqmdevs","Log_fdev_Trawl_Bycatch_year_2022_season_2","shared (fishing mortality)",62,-0.03043727,-0.02241664,0.00802063,0.215308761866906
"26_gmacs_male_only_eqmdevs","Init_logdev_for_sex_male_mature_mature_newshell_class_13","male",62,-0.04778869,-0.04001123,0.00777746,0.208781016337793
"26_gmacs_male_only_eqmdevs","Log_fdev_Trawl_Bycatch_year_2008_season_2","shared (fishing mortality)",62,-0.17952922,-0.17181517,0.00771405,0.207078814816219
"26_gmacs_male_only_eqmdevs","Sel_NMFS_Trawl_1982_male_base_class_6","male",62,-1.20278839,-1.19507628,0.00771210999999994,0.207026736737809
"26_gmacs_male_only_eqmdevs","Init_logdev_for_sex_male_mature_mature_newshell_class_15","male",62,-0.23692426,-0.22924085,0.00768341,0.206256303309816
"26_gmacs_male_only_eqmdevs","Rec_dev_est_1985","shared (recruitment devs)",62,1.24344812,1.25110258,0.00765445999999992,0.20547915878924
"26_gmacs_male_only_eqmdevs","Log_fdev_Pot_Fishery_year_2008_season_2","shared (fishing mortality)",62,-0.10036099,-0.09273711,0.00762388,0.204658257945058
"26_gmacs_male_only_eqmdevs","Rec_dev_est_1998","shared (recruitment devs)",62,-0.35688663,-0.34940429,0.00748233999999998,0.200858705770896
"26_gmacs_male_only_eqmdevs","Rec_dev_est_1993","shared (recruitment devs)",62,-0.93726192,-0.92979594,0.00746597999999998,0.200419531872569
"26_gmacs_male_only_eqmdevs","Rec_dev_est_2007","shared (recruitment devs)",62,0.26469683,0.27179632,0.00709948999999999,0.190581338596404
"26_gmacs_male_only_eqmdevs","Log_fdev_Pot_Fishery_year_2005_season_2","shared (fishing mortality)",62,-0.74643772,-0.73936484,0.00707287999999995,0.189867009902363
"26_gmacs_male_only_eqmdevs","Sel_NMFS_Trawl_1982_male_base_class_16","male",62,-1.02438636,-1.01760914,0.00677722000000003,0.181930203375501
"26_gmacs_male_only_eqmdevs","Log_fdev_Trawl_Bycatch_year_2005_season_2","shared (fishing mortality)",62,-0.03534849,-0.02878836,0.00656013,0.17610255902416
"26_gmacs_male_only_eqmdevs","Ret_Pot_Fishery_male_base_Logistic_cv","male",62,0.36845098,0.37500977,0.00655879000000004,0.176066587567941
