"model","parameter","class","n_optima","min","max","range","share_pct"
"26_gmacs_male_only","Initial_logN_for_sex_male_mature_immature_newshell_class_8","male",31,11.95791185,11.95920583,0.00129397999999981,0.0712084056757698
"26_gmacs_male_only","Log_fdev_Trawl_Bycatch_year_2000_season_2","shared (fishing mortality)",31,0.48149394,0.48275059,0.00125664999999997,0.0691541159774243
"26_gmacs_male_only","Sel_NMFS_Trawl_1989_male_base_class_8","male",31,-0.75398024,-0.75275983,0.00122040999999995,0.0671598095571614
"26_gmacs_male_only","Log_fdev_Trawl_Bycatch_year_2011_season_2","shared (fishing mortality)",31,-0.74941081,-0.74820553,0.00120527999999998,0.0663271976328096
"26_gmacs_male_only","Log_fdev_Pot_Fishery_year_1984_season_2","shared (fishing mortality)",31,-1.17315139,-1.17197131,0.00118007999999992,0.0649404282677237
"26_gmacs_male_only","Initial_logN_for_sex_male_mature_immature_newshell_class_11","male",31,10.74667715,10.74783986,0.00116270999999912,0.0639845479553195
"26_gmacs_male_only","Alpha_male","male",31,0.06446024,0.06559934,0.0011391,0.0626852771335584
"26_gmacs_male_only","Log_fdev_Trawl_Bycatch_year_2010_season_2","shared (fishing mortality)",31,-0.85621977,-0.85508213,0.00113764000000005,0.0626049325592347
"26_gmacs_male_only","Initial_logN_for_sex_male_mature_mature_newshell_class_1","male",31,9.16428995,9.165425,0.00113505000000025,0.0624624034856121
"26_gmacs_male_only","Sel_NMFS_Trawl_1989_male_base_class_16","male",31,-0.33332845,-0.33221387,0.00111457999999998,0.0613359285291192
"26_gmacs_male_only","Sel_NMFS_Trawl_1982_male_base_class_2","male",31,-2.14385294,-2.14280277,0.00105017000000007,0.0577914120686097
"26_gmacs_male_only","Rec_dev_est_1982","shared (recruitment devs)",31,0.61743997,0.61846923,0.00102926000000003,0.056640723678771
"26_gmacs_male_only","Log_fdev_Trawl_Bycatch_year_1985_season_2","shared (fishing mortality)",31,-0.42488472,-0.42386064,0.00102407999999998,0.0563556655315013
"26_gmacs_male_only","Sel_NMFS_Trawl_1982_male_base_class_22","male",31,-0.22790681,-0.22688775,0.00101905999999999,0.0560794122690923
"26_gmacs_male_only","Log_fdev_Trawl_Bycatch_year_1992_season_2","shared (fishing mortality)",31,1.56349982,1.56450538,0.00100555999999985,0.055336500109219
"26_gmacs_male_only","Log_fdev_Trawl_Bycatch_year_1997_season_2","shared (fishing mortality)",31,0.56996427,0.57095494,0.000990669999999971,0.0545170955121589
"26_gmacs_male_only","Initial_logN_for_sex_male_mature_immature_newshell_class_10","male",31,11.38727878,11.38824662,0.000967839999999498,0.0532607485040044
"26_gmacs_male_only","Log_fdev_Pot_Fishery_year_1991_season_2","shared (fishing mortality)",31,0.22692992,0.22789217,0.000962249999999998,0.0529531278393172
"26_gmacs_male_only","Sel_NMFS_Trawl_1982_male_base_class_19","male",31,-0.44200699,-0.44106454,0.000942449999999984,0.05186352333818
"26_gmacs_male_only","Sel_NMFS_Trawl_1989_male_base_class_12","male",31,-0.81133953,-0.81041475,0.000924780000000069,0.050891133866716
"26_gmacs_male_only","Initial_logN_for_sex_male_mature_mature_newshell_class_2","male",31,9.18259829,9.18352016,0.00092187000000088,0.0507309950234118
"26_gmacs_male_only","Log_fbar_Pot_Fishery","shared (fishing mortality)",31,0.20832485,0.20921893,0.000894079999999992,0.0492016965846468
"26_gmacs_male_only","Sel_NMFS_Trawl_1982_male_base_class_3","male",31,-1.8174246,-1.81653329,0.00089131000000009,0.0490492620155538
"26_gmacs_male_only","Log_fdev_Pot_Fishery_year_1985_season_2","shared (fishing mortality)",31,-0.83784136,-0.83699698,0.000844379999999978,0.046466679225733
"26_gmacs_male_only","Log_fdev_Trawl_Bycatch_year_2013_season_2","shared (fishing mortality)",31,0.20271099,0.20351808,0.000807089999999983,0.044414590748593
"26_gmacs_male_only","Sel_NMFS_Trawl_1989_male_base_class_13","male",31,-0.78812518,-0.78731911,0.000806069999999992,0.0443584596076259
"26_gmacs_male_only","Initial_logN_for_sex_male_mature_immature_newshell_class_7","male",31,12.23714642,12.23793316,0.000786740000000563,0.0432947194557904
"26_gmacs_male_only","Log_fdev_Pot_Fishery_year_2016_season_2","shared (fishing mortality)",31,0.5985769,0.59933881,0.000761910000000032,0.0419283113869119
"26_gmacs_male_only","Initial_logN_for_sex_male_mature_mature_newshell_class_10","male",31,11.56431634,11.56506837,0.000752030000001014,0.0413846097470049
"26_gmacs_male_only","Log_fdev_Trawl_Bycatch_year_1986_season_2","shared (fishing mortality)",31,-9.41214806,-9.41140534,0.000742719999999863,0.040872275509286
"26_gmacs_male_only","Initial_logN_for_sex_male_mature_immature_newshell_class_6","male",31,12.54820187,12.54892663,0.000724760000000657,0.0398839271840565
"26_gmacs_male_only","Log_fdev_Trawl_Bycatch_year_2001_season_2","shared (fishing mortality)",31,0.487363,0.4880724,0.000709400000000027,0.0390386582376857
"26_gmacs_male_only","Initial_logN_for_sex_male_mature_mature_newshell_class_3","male",31,9.24304342,9.2437448,0.00070138000000064,0.0385973133842289
"26_gmacs_male_only","Sel_NMFS_Trawl_1989_male_base_class_15","male",31,-0.55801136,-0.55732548,0.000685879999999917,0.0377443401636025
"26_gmacs_male_only","Sel_NMFS_Trawl_1982_male_base_class_4","male",31,-1.18571228,-1.18502938,0.000682899999999931,0.0375803491831292
"26_gmacs_male_only","Log_fdev_Trawl_Bycatch_year_2017_season_2","shared (fishing mortality)",31,0.44741655,0.44805855,0.000641999999999976,0.0353296004913904
"26_gmacs_male_only","Log_fdev_Trawl_Bycatch_year_1994_season_2","shared (fishing mortality)",31,1.14571064,1.14632823,0.000617590000000057,0.0339863052452969
"26_gmacs_male_only","Log_fdev_Trawl_Bycatch_year_1991_season_2","shared (fishing mortality)",31,1.98440767,1.98501232,0.000604650000000095,0.0332742101824352
"26_gmacs_male_only","Log_fdev_Pot_Fishery_year_1992_season_2","shared (fishing mortality)",31,0.69584325,0.69641977,0.000576519999999969,0.0317262013633895
"26_gmacs_male_only","Initial_logN_for_sex_male_mature_mature_newshell_class_4","male",31,9.41712183,9.41769379,0.00057196000000026,0.031475262144962
"26_gmacs_male_only","Log_fdev_Pot_Fishery_year_1986_season_2","shared (fishing mortality)",31,-0.73984296,-0.73928419,0.000558770000000042,0.030749409449496
"26_gmacs_male_only","Sel_NMFS_Trawl_1982_male_base_class_5","male",31,-1.24416516,-1.24361278,0.000552380000000019,0.0303977643604916
"26_gmacs_male_only","Initial_logN_for_sex_male_mature_immature_newshell_class_2","male",31,13.34267287,13.34320045,0.000527579999999972,0.0290330072075506
"26_gmacs_male_only","Initial_logN_for_sex_male_mature_immature_newshell_class_3","male",31,12.74100059,12.74151955,0.000518959999999069,0.028558644035794
"26_gmacs_male_only","Log_fdev_Trawl_Bycatch_year_2014_season_2","shared (fishing mortality)",31,1.78099632,1.78150072,0.000504399999999849,0.0277573995137892
"26_gmacs_male_only","Sel_NMFS_Trawl_1982_male_base_class_6","male",31,-1.1260578,-1.12557236,0.000485440000000059,0.0267140206581671
"26_gmacs_male_only","Log_fdev_Trawl_Bycatch_year_2015_season_2","shared (fishing mortality)",31,3.035081,3.0355623,0.000481300000000129,0.0264861942624788
"26_gmacs_male_only","Initial_logN_for_sex_male_mature_mature_newshell_class_8","male",31,11.44638832,11.44685927,0.000470949999998638,0.0259166282731664
"26_gmacs_male_only","Sel_NMFS_Trawl_1989_male_base_class_17","male",31,-0.23362251,-0.23315339,0.000469120000000017,0.0258159224026827
"26_gmacs_male_only","Sel_NMFS_Trawl_1989_male_base_class_22","male",31,-0.04499972,-0.0445334,0.000466319999999999,0.0256618369176725
"26_gmacs_male_only","Rec_dev_est_1989","shared (recruitment devs)",31,-0.34912044,-0.34866223,0.000458209999999959,0.0252155393164473
"26_gmacs_male_only","Sel_NMFS_Trawl_1982_male_base_class_21","male",31,-0.19135127,-0.19089993,0.000451339999999995,0.0248374795728731
